Problem,Package,File,Priority,Line,Description,Rule set,Rule
2,org.apache.tools.ant.taskdefs,apache-ant-1.8.4/src/tests/junit/org/apache/tools/ant/taskdefs/ProtectedJarMethodsTest.java,2,65,Inappropriate Collection calls should not be made,Sonar,CollectionInappropriateCallsCheck
1,org.apache.tools.zip,apache-ant-1.8.4/src/tests/junit/org/apache/tools/zip/ZipLongTest.java,2,63,Identical expressions should not be used on both sides of a binary operator,Sonar,IdenticalOperandOnBinaryExpressionCheck
1,org.apache.tools.zip,apache-ant-1.8.4/src/tests/junit/org/apache/tools/zip/ZipShortTest.java,2,61,Identical expressions should not be used on both sides of a binary operator,Sonar,IdenticalOperandOnBinaryExpressionCheck
1,org.apache.tools.ant.taskdefs,apache-ant-1.8.4/src/tests/junit/org/apache/tools/ant/taskdefs/ProtectedJarMethodsTest.java,2,60,Inappropriate Collection calls should not be made,Sonar,CollectionInappropriateCallsCheck
1,org.apache.tools.bzip2,apache-ant-1.8.4/src/main/org/apache/tools/bzip2/BZip2Constants.java,2,55,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
2,org.apache.tools.ant.taskdefs.cvslib,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/cvslib/ChangeLogParser.java,2,54,Non-thread-safe fields should not be static,Sonar,StaticMultithreadedUnsafeFieldsCheck
1,org.apache.tools.ant.util,apache-ant-1.8.4/src/main/org/apache/tools/ant/util/Base64Converter.java,2,52,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
1,org.apache.tools.ant.util,apache-ant-1.8.4/src/main/org/apache/tools/ant/util/DOMElementWriter.java,3,50,Loop conditions should be true at least once,Sonar,ForLoopFalseConditionCheck
1,org.apache.tools.ant.taskdefs.cvslib,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/cvslib/ChangeLogParser.java,2,49,Non-thread-safe fields should not be static,Sonar,StaticMultithreadedUnsafeFieldsCheck
1,org.apache.tools.ant.types.resources,apache-ant-1.8.4/src/main/org/apache/tools/ant/types/resources/Resources.java,2,44,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
2,org.apache.tools.ant.taskdefs.cvslib,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/cvslib/ChangeLogWriter.java,2,41,Non-thread-safe fields should not be static,Sonar,StaticMultithreadedUnsafeFieldsCheck
1,org.apache.tools.ant.taskdefs.cvslib,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/cvslib/ChangeLogWriter.java,2,38,Non-thread-safe fields should not be static,Sonar,StaticMultithreadedUnsafeFieldsCheck
2,org.apache.tools.ant.types,apache-ant-1.8.4/src/tests/junit/org/apache/tools/ant/types/PathTest.java,2,38,public static fields should be constant,Sonar,PublicStaticFieldShouldBeFinalCheck
1,org.apache.tools.ant.types,apache-ant-1.8.4/src/tests/junit/org/apache/tools/ant/types/PathTest.java,2,37,public static fields should be constant,Sonar,PublicStaticFieldShouldBeFinalCheck
1,org.apache.tools.ant.taskdefs.optional.jsp,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/jsp/JspNameMangler.java,2,36,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
1,org.apache.tools.ant.taskdefs.optional.junit,apache-ant-1.8.4/src/tests/junit/org/apache/tools/ant/taskdefs/optional/junit/VmCrash.java,2,31,Exit methods should not be called,Sonar,SystemExitCalledCheck
